R,G,B,Red,Yellow,Blue,Black,White
176,177,182,1.05,0,2.1,2.1,100
176,177,182,1.05,0,2.1,2.1,100
175,176,180,1.05,0,2.1,2.1,100
163,165,170,1.05,0,2.1,3.15,100
161,164,169,1.05,0,2.1,3.15,100
161,164,169,1.05,0,2.1,3.15,100
163,165,170,1.05,0,2.1,3.15,100
161,164,169,1.05,0,2.1,3.15,100
217,209,220,1.05,0,3.15,0,100
219,211,222,1.05,0,3.15,0,100
218,210,221,1.05,0,3.15,0,100
217,210,220,1.05,0,3.15,0,100
219,211,220,1.05,0,3.15,0,100
185,185,190,1.05,0,3.15,1.05,100
187,187,193,1.05,0,3.15,1.05,100
187,188,194,1.05,0,3.15,1.05,100
188,187,194,1.05,0,3.15,1.05,100
184,185,191,1.05,0,3.15,1.05,100
173,175,180,1.05,0,3.15,2.1,100
171,173,179,1.05,0,3.15,2.1,100
170,173,178,1.05,0,3.15,2.1,100
170,173,178,1.05,0,3.15,2.1,100
171,173,178,1.05,0,3.15,2.1,100
215,210,223,1.05,0,4.2,0,100
216,211,223,1.05,0,4.2,0,100
215,210,223,1.05,0,4.2,0,100
214,209,223,1.05,0,4.2,0,100
214,209,220,1.05,0,4.2,0,100
189,190,198,1.05,0,4.2,1.05,100
189,190,198,1.05,0,4.2,1.05,100
190,190,198,1.05,0,4.2,1.05,100
190,190,198,1.05,0,4.2,1.05,100
190,191,198,1.05,0,4.2,1.05,100
238,214,208,1.05,1.05,0,0,100
237,212,206,1.05,1.05,0,0,100
239,212,206,1.05,1.05,0,0,100
242,215,209,1.05,1.05,0,0,100
239,215,210,1.05,1.05,0,0,100
189,185,185,1.05,1.05,0,1.05,100
188,185,185,1.05,1.05,0,1.05,100
188,185,185,1.05,1.05,0,1.05,100
190,187,186,1.05,1.05,0,1.05,100
189,185,185,1.05,1.05,0,1.05,100
175,174,175,1.05,1.05,0,2.1,100
176,174,175,1.05,1.05,0,2.1,100
175,174,175,1.05,1.05,0,2.1,100
173,173,174,1.05,1.05,0,2.1,100
177,175,176,1.05,1.05,0,2.1,100
164,165,167,1.05,1.05,0,3.15,100
163,164,166,1.05,1.05,0,3.15,100
164,165,166,1.05,1.05,0,3.15,100
163,164,166,1.05,1.05,0,3.15,100
165,166,168,1.05,1.05,0,3.15,100
156,158,161,1.05,1.05,0,4.2,100
157,158,160,1.05,1.05,0,4.2,100
156,158,161,1.05,1.05,0,4.2,100
155,158,160,1.05,1.05,0,4.2,100
155,157,159,1.05,1.05,0,4.2,100
233,216,211,1.05,1.05,1.05,0,100
230,213,209,1.05,1.05,1.05,0,100
235,217,213,1.05,1.05,1.05,0,100
235,218,213,1.05,1.05,1.05,0,100
234,217,213,1.05,1.05,1.05,0,100
191,188,188,1.05,1.05,1.05,1.05,100
192,189,189,1.05,1.05,1.05,1.05,100
189,188,188,1.05,1.05,1.05,1.05,100
190,188,189,1.05,1.05,1.05,1.05,100
188,186,186,1.05,1.05,1.05,1.05,100
176,177,178,1.05,1.05,1.05,2.1,100
175,176,177,1.05,1.05,1.05,2.1,100
175,177,178,1.05,1.05,1.05,2.1,100
174,175,176,1.05,1.05,1.05,2.1,100
176,176,178,1.05,1.05,1.05,2.1,100
162,164,166,1.05,1.05,1.05,3.15,100
162,164,166,1.05,1.05,1.05,3.15,100
162,164,166,1.05,1.05,1.05,3.15,100
164,166,168,1.05,1.05,1.05,3.15,100
163,166,163,1.05,1.05,1.05,3.15,100
225,218,214,1.05,1.05,2.1,0,100
226,219,215,1.05,1.05,2.1,0,100
224,217,214,1.05,1.05,2.1,0,100
226,218,215,1.05,1.05,2.1,0,100
224,217,213,1.05,1.05,2.1,0,100
188,189,190,1.05,1.05,2.1,1.05,100
188,189,190,1.05,1.05,2.1,1.05,100
189,189,189,1.05,1.05,2.1,1.05,100
187,188,189,1.05,1.05,2.1,1.05,100
189,190,190,1.05,1.05,2.1,1.05,100
173,175,176,1.05,1.05,2.1,2.1,100
172,175,176,1.05,1.05,2.1,2.1,100
171,174,176,1.05,1.05,2.1,2.1,100
172,175,177,1.05,1.05,2.1,2.1,100
173,175,177,1.05,1.05,2.1,2.1,100
219,214,213,1.05,1.05,3.15,0,100
217,213,211,1.05,1.05,3.15,0,100
218,213,211,1.05,1.05,3.15,0,100
219,213,211,1.05,1.05,3.15,0,100
219,214,212,1.05,1.05,3.15,0,100
189,190,191,1.05,1.05,3.15,1.05,100
189,191,192,1.05,1.05,3.15,1.05,100
188,189,189,1.05,1.05,3.15,1.05,100
189,190,190,1.05,1.05,3.15,1.05,100
188,189,190,1.05,1.05,3.15,1.05,100
241,217,203,1.05,2.1,0,0,100
242,218,204,1.05,2.1,0,0,100
241,216,201,1.05,2.1,0,0,100
241,216,201,1.05,2.1,0,0,100
243,216,202,1.05,2.1,0,0,100
195,191,185,1.05,2.1,0,1.05,100
195,191,185,1.05,2.1,0,1.05,100
194,190,185,1.05,2.1,0,1.05,100
192,189,183,1.05,2.1,0,1.05,100
193,190,184,1.05,2.1,0,1.05,100
176,176,174,1.05,2.1,0,2.1,100
176,176,173,1.05,2.1,0,2.1,100
175,174,173,1.05,2.1,0,2.1,100
174,174,172,1.05,2.1,0,2.1,100
175,175,172,1.05,2.1,0,2.1,100
165,166,165,1.05,2.1,0,3.15,100
164,166,166,1.05,2.1,0,3.15,100
163,165,164,1.05,2.1,0,3.15,100
163,165,164,1.05,2.1,0,3.15,100
164,166,165,1.05,2.1,0,3.15,100
231,220,201,1.05,2.1,1.05,0,100
229,217,199,1.05,2.1,1.05,0,100
229,217,198,1.05,2.1,1.05,0,100
231,218,200,1.05,2.1,1.05,0,100
232,220,202,1.05,2.1,1.05,0,100
194,193,186,1.05,2.1,1.05,1.05,100
194,192,184,1.05,2.1,1.05,1.05,100
197,195,187,1.05,2.1,1.05,1.05,100
193,193,185,1.05,2.1,1.05,1.05,100
193,193,185,1.05,2.1,1.05,1.05,100
175,177,173,1.05,2.1,1.05,2.1,100
175,176,172,1.05,2.1,1.05,2.1,100
176,178,175,1.05,2.1,1.05,2.1,100
176,177,174,1.05,2.1,1.05,2.1,100
174,176,173,1.05,2.1,1.05,2.1,100
226,212,201,1.05,2.1,2.1,0,100
226,212,201,1.05,2.1,2.1,0,100
227,214,202,1.05,2.1,2.1,0,100
227,214,202,1.05,2.1,2.1,0,100
228,214,203,1.05,2.1,2.1,0,100
194,192,186,1.05,2.1,2.1,1.05,100
195,193,187,1.05,2.1,2.1,1.05,100
194,192,186,1.05,2.1,2.1,1.05,100
195,193,187,1.05,2.1,2.1,1.05,100
192,190,184,1.05,2.1,2.1,1.05,100
245,216,197,1.05,3.15,0,0,100
245,215,196,1.05,3.15,0,0,100
243,216,197,1.05,3.15,0,0,100
242,214,195,1.05,3.15,0,0,100
243,214,195,1.05,3.15,0,0,100
197,191,183,1.05,3.15,0,1.05,100
196,190,183,1.05,3.15,0,1.05,100
197,191,183,1.05,3.15,0,1.05,100
195,190,182,1.05,3.15,0,1.05,100
198,193,185,1.05,3.15,0,1.05,100
176,175,171,1.05,3.15,0,2.1,100
175,174,170,1.05,3.15,0,2.1,100
176,175,171,1.05,3.15,0,2.1,100
176,175,171,1.05,3.15,0,2.1,100
176,176,172,1.05,3.15,0,2.1,100
235,217,196,1.05,3.15,1.05,0,100
233,216,196,1.05,3.15,1.05,0,100
231,214,193,1.05,3.15,1.05,0,100
236,218,196,1.05,3.15,1.05,0,100
233,216,195,1.05,3.15,1.05,0,100
194,191,182,1.05,3.15,1.05,1.05,100
194,192,182,1.05,3.15,1.05,1.05,100
196,193,184,1.05,3.15,1.05,1.05,100
195,193,183,1.05,3.15,1.05,1.05,100
195,193,184,1.05,3.15,1.05,1.05,100
243,215,189,1.05,4.2,0,0,100
242,213,188,1.05,4.2,0,0,100
242,213,187,1.05,4.2,0,0,100
240,213,187,1.05,4.2,0,0,100
241,214,189,1.05,4.2,0,0,100
198,192,180,1.05,4.2,0,1.05,100
198,193,181,1.05,4.2,0,1.05,100
199,193,181,1.05,4.2,0,1.05,100
198,192,180,1.05,4.2,0,1.05,100
195,189,177,1.05,4.2,0,1.05,100
247,208,216,2.1,0,0,0,100
246,207,215,2.1,0,0,0,100
245,206,214,2.1,0,0,0,100
247,207,215,2.1,0,0,0,100
250,210,218,2.1,0,0,0,100
193,184,190,2.1,0,0,1.05,100
191,182,188,2.1,0,0,1.05,100
193,184,189,2.1,0,0,1.05,100
194,184,190,2.1,0,0,1.05,100
194,184,190,2.1,0,0,1.05,100
175,171,176,2.1,0,0,2.1,100
175,170,175,2.1,0,0,2.1,100
176,172,178,2.1,0,0,2.1,100
176,173,178,2.1,0,0,2.1,100
175,171,176,2.1,0,0,2.1,100
164,163,168,2.1,0,0,3.15,100
168,165,170,2.1,0,0,3.15,100
165,164,169,2.1,0,0,3.15,100
166,164,169,2.1,0,0,3.15,100
163,161,166,2.1,0,0,3.15,100
155,155,160,2.1,0,0,4.2,100
155,155,160,2.1,0,0,4.2,100
155,156,161,2.1,0,0,4.2,100
155,155,160,2.1,0,0,4.2,100
153,154,159,2.1,0,0,4.2,100
227,208,219,2.1,0,1.05,0,100
225,203,217,2.1,0,1.05,0,100
225,205,217,2.1,0,1.05,0,100
225,205,217,2.1,0,1.05,0,100
225,205,217,2.1,0,1.05,0,100
187,183,190,2.1,0,1.05,1.05,100
186,182,188,2.1,0,1.05,1.05,100
186,182,188,2.1,0,1.05,1.05,100
187,183,189,2.1,0,1.05,1.05,100
185,181,187,2.1,0,1.05,1.05,100
169,169,175,2.1,0,1.05,2.1,100
167,167,173,2.1,0,1.05,2.1,100
169,169,175,2.1,0,1.05,2.1,100
170,170,176,2.1,0,1.05,2.1,100
170,170,176,2.1,0,1.05,2.1,100
156,158,163,2.1,0,1.05,3.15,100
156,157,162,2.1,0,1.05,3.15,100
155,157,162,2.1,0,1.05,3.15,100
157,159,164,2.1,0,1.05,3.15,100
159,159,165,2.1,0,1.05,3.15,100
228,204,216,2.1,0,2.1,0,100
227,203,215,2.1,0,2.1,0,100
226,202,213,2.1,0,2.1,0,100
227,203,214,2.1,0,2.1,0,100
226,203,215,2.1,0,2.1,0,100
195,187,195,2.1,0,2.1,1.05,100
193,185,193,2.1,0,2.1,1.05,100
192,184,192,2.1,0,2.1,1.05,100
197,188,195,2.1,0,2.1,1.05,100
194,186,193,2.1,0,2.1,1.05,100
177,175,181,2.1,0,2.1,2.1,100
176,173,180,2.1,0,2.1,2.1,100
177,174,180,2.1,0,2.1,2.1,100
178,175,182,2.1,0,2.1,2.1,100
177,174,178,2.1,0,2.1,2.1,100
221,203,216,2.1,0,3.15,0,100
222,203,216,2.1,0,3.15,0,100
220,201,214,2.1,0,3.15,0,100
222,203,216,2.1,0,3.15,0,100
